Ticker,Signal,Bullish_Setups,Bearish_Setups,Num_Bullish,Num_Bearish,Price,RSI,MACD_Hist,Vol_Ratio,RS_vs_SPY,Dist_200_SMA,ATR_Pct
KLAC,BULLISH,"PULLBACK_SUPPORT, RS_LEADER",,2,0,1455.0699462890625,53.760223166381415,0.9758234029648918,1.3917778616223326,18.247853903439616,42.658150630125576,5.4025860955522385
APH,BULLISH,"PULLBACK_SUPPORT, RS_LEADER",,2,0,146.47999572753906,54.58768366540625,-0.5706009431118693,0.5570495184738284,6.888186334565005,27.820015409662847,5.228407795703297
GOOGL,BULLISH,RS_LEADER,,1,0,338.864990234375,61.845563066827545,0.19738476467284904,0.473455854075479,6.760466248006902,44.67870122021976,2.4414481331033744
AMZN,BULLISH,PULLBACK_SUPPORT,,1,0,241.0800018310547,42.14071511484256,0.14841731130031688,0.6101507313473756,2.941910667499803,8.69567744942901,2.321546941513663
META,BULLISH,RS_LEADER,,1,0,717.97998046875,64.58876420645086,10.50467620382507,0.8127120704915854,7.266899919028913,5.493234807440803,3.1194673962137816
HD,BULLISH,PULLBACK_SUPPORT,,1,0,373.2200012207031,48.65884723869124,-0.7319467717611596,0.3690344251587899,6.9595457287290765,0.528266946395892,1.9621141371248672
WMT,BULLISH,RS_LEADER,,1,0,118.68000030517578,64.78973496158932,-0.25209763404609187,0.17795697719885908,5.02233441440838,15.510321239136763,2.0734015600695663
MRK,BULLISH,PULLBACK_SUPPORT,,1,0,110.1449966430664,48.92906120796242,-0.5187560963066495,0.6815839680435858,3.1377750070830768,27.086426576019896,2.2412677412755335
KO,BULLISH,RS_LEADER,,1,0,74.46499633789062,75.11104996836832,0.34806731943252744,0.808145131610739,5.0124002295385495,7.571585274407557,1.4546617329264049
AMD,BULLISH,RS_LEADER,,1,0,240.15829467773438,73.44244868765458,1.6407839061284077,0.6791754122069146,10.636548625500229,36.5935529163551,5.167720708008047
LIN,BULLISH,RS_LEADER,,1,0,455.6499938964844,64.24527394439653,0.8133069074424606,0.5530005729170272,5.359148238786382,1.2894800546400036,1.3954552799716458
CAT,BULLISH,RS_LEADER,,1,0,658.39501953125,65.891817326285,1.1083083051733666,0.7031617579600465,13.695012236659874,41.934418671401296,2.9389040074108492
CMCSA,BULLISH,RS_LEADER,,1,0,29.53499984741211,62.701129627935735,0.017241887154390123,0.6576549424453371,5.165608722059378,0.8028783036920519,2.8571771674149375
AMAT,BULLISH,RS_LEADER,,1,0,328.625,63.739686656469175,0.6744608046215141,0.41393709705073267,26.37152142430119,58.36286874870341,3.9513131350866706
SPGI,BULLISH,PULLBACK_SUPPORT,,1,0,528.8350219726562,41.338989231419596,-2.561097786033077,0.4363072016924941,-0.3081004304519741,3.0863174436516254,2.0281782184378696
PFE,BULLISH,RS_LEADER,,1,0,26.3700008392334,66.34486534090233,0.11212149857866952,0.4988704333428448,6.174504568903805,10.983186656604651,1.974417920022346
MS,BULLISH,PULLBACK_SUPPORT,,1,0,181.6199951171875,43.46857869385145,-0.8080083947894234,0.4008395014749571,0.8007250176693015,20.477343102548303,2.5819218667020265
LOW,BULLISH,PULLBACK_SUPPORT,,1,0,265.6650085449219,49.624756217396225,-1.280804273644681,0.392448748155059,9.152935328668253,11.650046597463795,2.230355895540163
GS,BULLISH,PULLBACK_SUPPORT,,1,0,934.0349731445312,48.63987547538635,-5.121540580077504,0.38167983317517906,4.7579801881954875,25.867485926089433,2.668759832133653
RTX,BULLISH,RS_LEADER,,1,0,200.6649932861328,68.06773613529097,-0.1116837018176966,0.42087071902528833,7.910740583016884,26.263777132223137,2.2630106259740117
VRTX,BULLISH,PULLBACK_SUPPORT,,1,0,471.260009765625,54.873572200355014,1.3969998695262058,0.26404799733398726,2.445193764956266,7.914779447410901,2.493162635018277
